Fecha,Cobros,Pagos_Operativos,Pagos_Programados,Flujo_Caja,Saldo_Bancario
2021-01-01,465235.85,15400.1,0.0,449835.75,3649835.75
2021-01-02,398000.79,13404.66,0.0,384596.13,4034431.88
2021-01-03,487522.56,15299.45,0.0,472223.11,4506654.99
2021-01-04,497028.24,12658.2,0.0,484370.04,4991025.03
2021-01-05,352448.24,15814.29,1200000.0,-863366.05,4127658.98
2021-01-06,2348.91,16536.77,0.0,-14187.86,4113471.13
2021-01-07,3063.92,13825.23,0.0,-10761.31,4102709.82
2021-01-08,2841.88,13294.62,0.0,-10452.74,4092257.08
2021-01-09,2991.6,11765.97,0.0,-8774.37,4083482.71
2021-01-10,2573.48,14600.38,0.0,-12026.9,4071455.81
2021-01-11,3439.7,14127.61,0.0,-10687.91,4060767.9
2021-01-12,3388.9,12673.47,0.0,-9284.57,4051483.33
2021-01-13,3033.02,15679.53,0.0,-12646.51,4038836.81
2021-01-14,3563.62,14325.04,0.0,-10761.42,4028075.39
2021-01-15,3233.75,13386.4,0.0,-10152.64,4017922.75
2021-01-16,2570.35,14168.14,0.0,-11597.79,4006324.96
2021-01-17,3184.38,16606.96,0.0,-13422.58,3992902.38
2021-01-18,2520.56,15904.41,0.0,-13383.85,3979518.53
2021-01-19,3439.23,14804.96,0.0,-11365.74,3968152.8
2021-01-20,2975.04,15928.66,400000.0,-412953.62,3555199.18
2021-01-21,2907.57,13258.63,0.0,-10351.06,3544848.11
2021-01-22,2659.54,15048.56,0.0,-12389.02,3532459.09
2021-01-23,3611.27,15220.98,0.0,-11609.71,3520849.38
2021-01-24,2922.74,14295.25,0.0,-11372.51,3509476.87
2021-01-25,2785.84,15653.19,0.0,-12867.35,3496609.52
2021-01-26,2823.93,13829.35,0.0,-11005.42,3485604.1
2021-01-27,3266.15,15764.73,0.0,-12498.58,3473105.53
2021-01-28,3182.72,15827.79,350000.0,-362645.07,3110460.46
2021-01-29,3206.37,10624.26,0.0,-7417.89,3103042.57
2021-01-30,3215.41,16785.46,0.0,-13570.05,3089472.52
2021-01-31,4070.82,10428.55,0.0,-6357.73,3083114.79
