Fecha;Cobros;Pagos_Operativos;Pagos_Programados;Flujo_Caja;Saldo_Bancario
2021-01-01;465.235,85 €;15.400,10 €;0,00 €;449.835,75 €;3.649.835,75 €
2021-01-02;398.000,79 €;13.404,66 €;0,00 €;384.596,13 €;4.034.431,88 €
2021-01-03;487.522,56 €;15.299,45 €;0,00 €;472.223,11 €;4.506.654,99 €
2021-01-04;497.028,24 €;12.658,20 €;0,00 €;484.370,04 €;4.991.025,03 €
2021-01-05;352.448,24 €;15.814,29 €;1.200.000,00 €;-863.366,05 €;4.127.658,98 €
2021-01-06;2.348,91 €;16.536,77 €;0,00 €;-14.187,86 €;4.113.471,13 €
2021-01-07;3.063,92 €;13.825,23 €;0,00 €;-10.761,31 €;4.102.709,82 €
2021-01-08;2.841,88 €;13.294,62 €;0,00 €;-10.452,74 €;4.092.257,08 €
2021-01-09;2.991,60 €;11.765,97 €;0,00 €;-8.774,37 €;4.083.482,71 €
2021-01-10;2.573,48 €;14.600,38 €;0,00 €;-12.026,90 €;4.071.455,81 €
2021-01-11;3.439,70 €;14.127,61 €;0,00 €;-10.687,91 €;4.060.767,90 €
2021-01-12;3.388,90 €;12.673,47 €;0,00 €;-9.284,57 €;4.051.483,33 €
2021-01-13;3.033,02 €;15.679,53 €;0,00 €;-12.646,51 €;4.038.836,81 €
2021-01-14;3.563,62 €;14.325,04 €;0,00 €;-10.761,42 €;4.028.075,39 €
2021-01-15;3.233,75 €;13.386,40 €;0,00 €;-10.152,64 €;4.017.922,75 €
2021-01-16;2.570,35 €;14.168,14 €;0,00 €;-11.597,79 €;4.006.324,96 €
2021-01-17;3.184,38 €;16.606,96 €;0,00 €;-13.422,58 €;3.992.902,38 €
2021-01-18;2.520,56 €;15.904,41 €;0,00 €;-13.383,85 €;3.979.518,53 €
2021-01-19;3.439,23 €;14.804,96 €;0,00 €;-11.365,74 €;3.968.152,80 €
2021-01-20;2.975,04 €;15.928,66 €;400.000,00 €;-412.953,62 €;3.555.199,18 €
2021-01-21;2.907,57 €;13.258,63 €;0,00 €;-10.351,06 €;3.544.848,11 €
2021-01-22;2.659,54 €;15.048,56 €;0,00 €;-12.389,02 €;3.532.459,09 €
2021-01-23;3.611,27 €;15.220,98 €;0,00 €;-11.609,71 €;3.520.849,38 €
2021-01-24;2.922,74 €;14.295,25 €;0,00 €;-11.372,51 €;3.509.476,87 €
2021-01-25;2.785,84 €;15.653,19 €;0,00 €;-12.867,35 €;3.496.609,52 €
2021-01-26;2.823,93 €;13.829,35 €;0,00 €;-11.005,42 €;3.485.604,10 €
2021-01-27;3.266,15 €;15.764,73 €;0,00 €;-12.498,58 €;3.473.105,53 €
2021-01-28;3.182,72 €;15.827,79 €;350.000,00 €;-362.645,07 €;3.110.460,46 €
2021-01-29;3.206,37 €;10.624,26 €;0,00 €;-7.417,89 €;3.103.042,57 €
2021-01-30;3.215,41 €;16.785,46 €;0,00 €;-13.570,05 €;3.089.472,52 €
2021-01-31;4.070,82 €;10.428,55 €;0,00 €;-6.357,73 €;3.083.114,79 €
2021-02-01;429.679,25 €;14.075,93 €;0,00 €;415.603,32 €;3.498.718,11 €
2021-02-02;424.387,86 €;16.538,02 €;0,00 €;407.849,84 €;3.906.567,95 €
2021-02-03;409.311,36 €;14.524,07 €;0,00 €;394.787,29 €;4.301.355,25 €
2021-02-04;480.798,97 €;12.800,72 €;0,00 €;467.998,25 €;4.769.353,50 €
2021-02-05;506.448,61 €;13.359,39 €;1.200.000,00 €;-706.910,78 €;4.062.442,72 €
2021-02-06;2.943,03 €;16.540,36 €;0,00 €;-13.597,33 €;4.048.845,39 €
2021-02-07;2.579,92 €;12.117,74 €;0,00 €;-9.537,82 €;4.039.307,56 €
2021-02-08;2.587,76 €;16.693,49 €;0,00 €;-14.105,73 €;4.025.201,84 €
2021-02-09;3.325,30 €;14.917,35 €;0,00 €;-11.592,05 €;4.013.609,79 €
2021-02-10;3.371,63 €;13.211,41 €;0,00 €;-9.839,78 €;4.003.770,01 €
2021-02-11;3.271,58 €;14.125,33 €;0,00 €;-10.853,75 €;3.992.916,26 €
2021-02-12;2.667,25 €;13.474,16 €;0,00 €;-10.806,92 €;3.982.109,34 €
2021-02-13;3.116,08 €;16.299,34 €;0,00 €;-13.183,26 €;3.968.926,08 €
2021-02-14;3.058,34 €;16.098,64 €;0,00 €;-13.040,30 €;3.955.885,78 €
2021-02-15;3.109,34 €;12.421,26 €;0,00 €;-9.311,91 €;3.946.573,87 €
2021-02-16;3.435,71 €;14.394,61 €;0,00 €;-10.958,90 €;3.935.614,97 €
