Fecha,Flujo_Base,Saldo_Base,Flujo_Adverso,Saldo_Adverso,Flujo_Favorable,Saldo_Favorable
2026-03-01,446391.96315324114,9820528.103153242,399364.112711624,9773500.252711624,469826.2665698399,9843962.40656984
2026-03-02,429856.77212479245,10250384.875278033,384392.4828818546,10157892.73559348,452506.29634524614,10296468.702915087
2026-03-03,436842.173062355,10687227.04834039,390561.46132246894,10548454.196915949,459895.9791178431,10756364.68203293
2026-03-04,480494.63914533344,11167721.687485723,429962.68904993415,10978416.885965882,505677.86465367087,11262042.5466866
2026-03-05,-745007.0793922538,10422714.608093468,-792910.801155519,10185506.084810363,-721135.3661673709,10540907.18051923
2026-03-06,-15489.933280880607,10407224.674812589,-16264.429944924637,10169241.654865438,-15180.134615262994,10525727.045903966
2026-03-07,-15866.24386528234,10391358.430947306,-16659.55605854646,10152582.098806892,-15548.918987976693,10510178.12691599
2026-03-08,-16081.41245496063,10375277.018492345,-16961.9162093006,10135620.182597592,-15724.115411118511,10494454.011504872
2026-03-09,-16523.054059419796,10358753.964432925,-17416.409815772677,10118203.77278182,-16161.231553319845,10478292.779951552
2026-03-10,-15646.394794589194,10343107.569638336,-16505.044171257603,10101698.728610562,-15297.846401459232,10462994.933550093
2026-03-11,-14168.534092166012,10328939.03554617,-15135.073632948079,10086563.654977614,-13764.7107534416,10449230.22279665
2026-03-12,-16524.92461369298,10312414.110932477,-17454.34992130357,10069109.30505631,-16146.275885520348,10433083.94691113
2026-03-13,-12537.068086682813,10299877.042845795,-13732.42214013968,10055376.88291617,-12021.02642202522,10421062.920489106
2026-03-14,-14005.92334139934,10285871.119504396,-15070.542142630136,10040306.34077354,-13555.787645296301,10407507.13284381
2026-03-15,-13065.428062903857,10272805.691441491,-14192.034609079641,10026114.30616446,-12583.229768231504,10394923.903075578
2026-03-16,-12788.372342518593,10260017.319098974,-13840.94241505114,10012273.36374941,-12339.800883145133,10382584.102192432
2026-03-17,-13260.085246330407,10246757.233852642,-14298.715921241917,9997974.647828167,-12819.591215526138,10369764.510976907
2026-03-18,-11183.81957008888,10235573.414282553,-12361.278386722423,9985613.369441444,-10671.618187560187,10359092.892789345
2026-03-19,-14649.508757122032,10220923.905525431,-15741.500631008956,9969871.868810436,-14188.74424516521,10344904.148544181
2026-03-20,-14429.32146584973,10206494.584059581,-15557.79005172242,9954314.078758713,-13950.800530661973,10330953.348013518
2026-03-21,-14733.575011311112,10191761.00904827,-15824.037405237306,9938490.041353475,-14273.804477516593,10316679.543536002
2026-03-22,-14195.905313986901,10177565.103734285,-15297.785071001526,9923192.256282475,-13729.014445093366,10302950.52909091
2026-03-23,-13577.18169524114,10163987.922039043,-14811.52230042728,9908380.733982047,-13046.413351805077,10289904.115739103
2026-03-24,-13458.37540133367,10150529.546637708,-14644.6322854891,9893736.101696558,-12949.650106732246,10276954.465632372
2026-03-25,-10281.350634703573,10140248.196003005,-11619.519276611489,9882116.582419947,-9691.143103928891,10267263.322528442
2026-03-26,-14053.690903493884,10126194.50509951,-15113.401112057825,9867003.18130789,-13606.00510917569,10253657.317419266
2026-03-27,-7041.283294685516,10119153.221804826,-8800.550497525366,9858202.630810363,-6243.76287767587,10247413.554541592
2026-03-28,-367061.22503882315,9752091.996766003,-367914.28629076434,9490288.344519598,-366720.0005380467,9880693.554003544
2026-03-29,-7998.164133089431,9744093.832632914,-9653.215765591242,9480635.128754009,-7252.467251698883,9873441.086751845
2026-03-30,-10354.731758424032,9733739.10087449,-11876.452331553695,9468758.676422454,-9679.111263491599,9863761.975488354
2026-03-31,-12230.065053052866,9721509.035821436,-13321.03466254135,9455437.641759913,-11761.712785468415,9852000.262702886
2026-04-01,457918.644983949,10179427.680805385,409822.8217625345,9865260.463522447,481889.7579705557,10333890.02067344
2026-04-02,466830.4907468188,10646258.171552204,417752.7078950198,10283013.171417467,491289.5577134811,10825179.578386921
2026-04-03,453495.8532616563,11099754.02481386,405779.9155499127,10688793.086967379,477274.9437046755,11302454.522091597
2026-04-04,447494.1125439375,11547248.137357797,400126.68490763364,11088919.771875013,471090.5591493591,11773545.081240956
2026-04-05,-758084.375788033,10789163.761569764,-804754.1588573054,10284165.613017708,-734832.0916083327,11038712.989632623
2026-04-06,-12092.419930607237,10777071.341639157,-13282.725890737835,10270882.887126971,-11577.25188231498,11027135.737750309
2026-04-07,-14988.877220562394,10762082.464418596,-15944.327207708115,10254938.559919262,-14592.96348396293,11012542.774266345
2026-04-08,-13144.277203065412,10748938.18721553,-14133.381303400492,10240805.17861586,-12726.50954691926,10999816.264719427
2026-04-09,-15485.081756377465,10733453.105459154,-16391.1050077867,10224414.073608074,-15113.887844907747,10984702.37687452
2026-04-10,-14431.32320008165,10719021.782259071,-15356.281001521395,10209057.792606553,-14047.780636743373,10970654.596237775
2026-04-11,-14318.5702171059,10704703.212041965,-15308.708754330033,10193749.083852224,-13904.234133791657,10956750.362103984
2026-04-12,-15443.002190957919,10689260.209851008,-16392.26333347372,10177356.820518749,-15051.49033175374,10941698.87177223
2026-04-13,-13005.84075152434,10676254.369099483,-14148.241156476008,10163208.579362273,-12516.073365051974,10929182.798407178
2026-04-14,-13465.497175802519,10662788.871923681,-14514.360509699904,10148694.218852574,-13020.912610569747,10916161.885796608
2026-04-15,-11267.873701332552,10651520.998222347,-12449.548236349234,10136244.670616224,-10753.985163995872,10905407.900632612
2026-04-16,-13313.090896302143,10638207.907326046,-14420.727226746303,10121823.94338948,-12840.57091174921,10892567.329720864
2026-04-17,-13175.128724216087,10625032.778601829,-14323.353022605323,10107500.590366874,-12683.207814048497,10879884.121906815
2026-04-18,-13282.172603816323,10611750.605998013,-14382.479277657325,10093118.111089215,-12812.970064703244,10867071.151842112
2026-04-19,-14001.229904950813,10597749.376093064,-15092.085318655256,10078026.02577056,-13538.83481157191,10853532.31703054
2026-04-20,-414646.2489140713,10183103.127178991,-415709.1715906078,9662316.854179952,-414199.0391614012,10439333.277869139
2026-04-21,-14031.272194023559,10169071.854984967,-15025.920991746038,9647290.933188207,-13613.873662399814,10425719.404206738
2026-04-22,-11922.782275432914,10157149.072709534,-13070.200185744789,9634220.733002461,-11427.063191538817,10414292.3410152
2026-04-23,-12995.281364548413,10144153.791344987,-14243.605881727828,9619977.127120733,-12456.047527746516,10401836.293487454
2026-04-24,-12138.01269656657,10132015.77864842,-13367.984881088321,9606609.142239645,-11604.485719444976,10390231.807768008
2026-04-25,-13450.205931800758,10118565.57271662,-14526.597758888729,9592082.544480758,-12992.723765599041,10377239.08400241
2026-04-26,-8612.379386843255,10109953.193329776,-10128.0693859091,9581954.475094847,-7933.765318568669,10369305.31868384
2026-04-27,-15809.787843443732,10094143.405486332,-16600.27723561592,9565354.197859231,-15493.592086574858,10353811.726597266
2026-04-28,-364755.4990818346,9729387.906404497,-365710.88130823115,9199643.316551,-364358.839039789,9989452.887557477
2026-04-29,-11080.349617568341,9718307.556786928,-12425.677511735812,9187217.639039265,-10489.464432348748,9978963.423125127
