Fecha,Ingresos,Gastos,CashFlow,Saldo_Bancario
2024-01-01,474835.71,15300.85,459534.85,3659534.85
2024-01-02,443086.78,16722.96,426363.83,4085898.68
2024-01-03,482384.43,13476.27,468908.16,4554806.84
2024-01-04,526151.49,15092.52,511058.97,5065865.82
2024-01-05,438292.33,1215643.22,-777350.89,4288514.92
2024-01-06,2882.93,16039.66,-13156.73,4275358.2
2024-01-07,3789.61,15264.66,-11475.06,4263883.14
2024-01-08,3383.72,14449.46,-11065.74,4252817.4
2024-01-09,2765.26,13758.61,-10993.35,4241824.05
2024-01-10,3271.28,15129.22,-11857.94,4229966.11
2024-01-11,2768.29,13391.79,-10623.5,4219342.61
2024-01-12,2767.14,10617.97,-7850.84,4211491.77
2024-01-13,3120.98,15654.84,-12533.86,4198957.91
2024-01-14,2043.36,16355.9,-14312.54,4184645.37
2024-01-15,2137.54,11455.6,-9318.06,4175327.31
2024-01-16,2718.86,13485.4,-10766.55,4164560.76
2024-01-17,2493.58,15928.73,-13435.15,4151125.62
2024-01-18,3157.12,18086.24,-14929.12,4136196.5
2024-01-19,2545.99,15031.19,-12485.2,4123711.29
2024-01-20,2293.85,413908.0,-411614.15,3712097.15
2024-01-21,3732.82,14725.66,-10992.83,3701104.31
2024-01-22,2887.11,17062.31,-14175.2,3686929.11
2024-01-23,3033.76,14031.05,-10997.29,3675931.82
2024-01-24,2287.63,13801.21,-11513.59,3664418.24
2024-01-25,2727.81,14275.88,-11548.08,3652870.16
2024-01-26,3055.46,13570.01,-10514.55,3642355.61
2024-01-27,2424.5,15184.01,-12759.5,3629596.11
2024-01-28,3187.85,367437.02,-364249.17,3265346.94
2024-01-29,2699.68,15484.62,-12784.94,3252562.01
2024-01-30,2854.15,14621.47,-11767.32,3240794.69
2024-01-31,2699.15,14562.28,-11863.14,3228931.55
2024-02-01,542613.91,12655.21,529958.7,3758890.25
2024-02-02,449325.14,16324.66,433000.47,4191890.72
2024-02-03,397114.45,14883.24,382231.21,4574121.93
2024-02-04,491127.25,14729.28,476397.97,5050519.9
2024-02-05,388957.82,1219789.66,-830831.84,4219688.05
2024-02-06,3104.43,15448.13,-12343.7,4207344.36
2024-02-07,2020.16,13872.31,-11852.15,4195492.21
2024-02-08,2335.91,14360.46,-12024.56,4183467.65
2024-02-09,3098.43,16722.67,-13624.24,4169843.41
2024-02-10,3369.23,15169.91,-11800.67,4158042.74
2024-02-11,3085.68,12842.58,-9756.9,4148285.84
2024-02-12,2942.18,16378.84,-13436.67,4134849.17
2024-02-13,2849.45,13997.78,-11148.34,4123700.84
2024-02-14,2260.74,17809.95,-15549.21,4108151.63
2024-02-15,2640.08,16620.07,-13979.99,4094171.64
2024-02-16,2769.68,14329.02,-11559.34,4082612.3
2024-02-17,3528.56,16921.52,-13392.96,4069219.34
2024-02-18,3171.81,15101.78,-11929.97,4057289.36
2024-02-19,2118.48,16279.16,-14160.68,4043128.68
2024-02-20,3162.04,15727.1,-12565.06,4030563.62
2024-02-21,2807.46,13730.47,-10923.01,4019640.62
2024-02-22,2661.54,14034.68,-11373.14,4008267.48
2024-02-23,3305.84,16544.94,-13239.1,3995028.38
2024-02-24,3515.5,14497.84,-10982.34,3984046.04
2024-02-25,3465.64,14394.53,-10928.89,3973117.15
2024-02-26,2580.39,13567.32,-10986.92,3962130.23
2024-02-27,2845.39,15635.4,-12790.0,3949340.22
2024-02-28,3165.63,368093.79,-364928.16,3584412.07
2024-02-29,3487.77,13398.7,-9910.93,3574501.14
2024-03-01,426041.29,15036.33,411004.96,3985506.1
2024-03-02,440717.05,17118.33,423598.72,4409104.82
2024-03-03,394683.25,14880.54,379802.71,4788907.53
2024-03-04,390189.67,15678.56,374511.11,5163418.64
2024-03-05,490626.29,1213406.41,-722780.12,4440638.53
2024-03-06,3678.12,15642.46,-11964.34,4428674.18
2024-03-07,2963.99,14719.28,-11755.29,4416918.9
2024-03-08,3501.77,16478.59,-12976.83,4403942.07
2024-03-09,3180.82,16781.08,-13600.26,4390341.81
2024-03-10,2677.44,18884.35,-16206.91,4374134.9
2024-03-11,3180.7,15869.45,-12688.75,4361446.15
2024-03-12,3769.02,15488.69,-11719.68,4349726.47
2024-03-13,2982.09,15291.58,-12309.49,4337416.98
2024-03-14,3782.32,14470.25,-10687.93,4326729.05
2024-03-15,1690.13,15507.73,-13817.6,4312911.46
2024-03-16,3410.95,14556.9,-11145.95,4301765.51
2024-03-17,3043.52,15252.69,-12209.17,4289556.34
2024-03-18,2850.5,16976.4,-14125.9,4275430.44
2024-03-19,3045.88,13490.19,-10444.31,4264986.14
2024-03-20,2006.22,16709.82,-14703.6,4250282.53
2024-03-21,2890.16,16975.67,-14085.51,4236197.03
2024-03-22,3178.56,14822.9,-11644.34,4224552.68
2024-03-23,3738.95,11817.22,-8078.27,4216474.41
2024-03-24,2740.86,14088.27,-11347.4,4205127.01
2024-03-25,2595.75,16945.49,-14349.74,4190777.27
2024-03-26,2749.12,14965.7,-12216.58,4178560.7
2024-03-27,3457.7,13501.05,-10043.35,4168517.35
2024-03-28,3164.38,364242.84,-361078.46,3807438.89
2024-03-29,2735.12,16260.93,-13525.81,3793913.08
2024-03-30,3256.63,15820.1,-12563.47,3781349.61
2024-03-31,3048.54,14641.6,-11593.06,3769756.55
2024-04-01,498432.25,14449.76,483982.49,4253739.04
2024-04-02,414897.35,14412.36,400484.98,4654224.02
2024-04-03,433616.89,13616.38,420000.51,5074224.53
2024-04-04,430394.59,17423.06,412971.53,5487196.05
2024-04-05,376824.25,1214516.52,-837692.27,4649503.79
2024-04-06,3148.06,16825.74,-13677.68,4635826.11
2024-04-07,3130.53,17281.97,-14151.45,4621674.66
2024-04-08,3002.56,16497.47,-13494.91,4608179.75
2024-04-09,2882.71,14352.57,-11469.86,4596709.89
2024-04-10,2292.31,15605.6,-13313.28,4583396.61
2024-04-11,2789.68,14963.71,-12174.03,4571222.58
2024-04-12,2828.64,13644.45,-10815.8,4560406.78
2024-04-13,2598.86,15486.54,-12887.68,4547519.1
2024-04-14,2919.36,13231.44,-10312.08,4537207.02
2024-04-15,3202.03,16781.52,-13579.49,4523627.52
